nama_desa,jumlah
ALU RAMBE,4
BABAH LUENG,3
BAYU,18
BL. ADO,8
BL. ARA,7
BL. GURAH,11
BL. RIEK,13
BL. TALON,38
BUKET,16
CEMECET,5
CEMPEDAK,15
COT MERBO,11
COT RHEU,10
COT SEMIYONG,2
COT SEUTUI,4
FASKES LAIN,6
GUHA ULHEU,5
KD. KRUENG,4
KEUDE BLANG ARA,2
KR. MANYANG,10
KR. SENONG,13
KR. SEPENG,4
KRESEK,9
LANGKUTA,7
LHOKJOK,10
MC. BAHAGIA,6
MEUNASAH DAYAH,11
MEUNASAH KULAM,3
MEUNASAH KUMBANG,11
MEURIYA,3
MULING MANYANG,2
MULING MEUCAT,8
P. RAYEUK 2,2
PULO BARAT,7
PULO IBOH,6
PULO RAYEUK,7
Panton Rayek 1,5
SAWEUK,1
SEUNEBOK DRIEN,2
SIDO MULYO,11
