nama_desa,jumlah
ALU RAMBE,6
BABAH LUENG,1
BAYU,13
BL. ADO,11
BL. ARA,2
BL. GURAH,15
BL. RIEK,7
BL. TALON,18
BUKET,14
CEMECET,4
CEMPEDAK,14
COT MERBO,7
COT RHEU,17
COT SEMIYONG,0
COT SEUTUI,7
FASKES LAIN,2
GUHA ULHEU,3
KD. KRUENG,2
KEUDE BLANG ARA,0
KR. MANYANG,11
KR. SENONG,9
KR. SEPENG,8
KRESEK,14
LANGKUTA,2
LHOKJOK,12
MC. BAHAGIA,13
MEUNASAH DAYAH,4
MEUNASAH KULAM,0
MEUNASAH KUMBANG,2
MEURIYA,0
MULING MANYANG,7
MULING MEUCAT,6
P. RAYEUK 2,1
PULO BARAT,3
PULO IBOH,1
PULO RAYEUK,9
Panton Rayek 1,7
SAWEUK,0
SEUNEBOK DRIEN,2
SIDO MULYO,12
