nama_desa,jumlah
ALU RAMBE,3
BABAH LUENG,6
BAYU,14
BL. ADO,18
BL. ARA,0
BL. GURAH,10
BL. RIEK,10
BL. TALON,18
BUKET,15
CEMECET,13
CEMPEDAK,17
COT MERBO,16
COT RHEU,26
COT SEMIYONG,5
COT SEUTUI,0
FASKES LAIN,2
GUHA ULHEU,5
KD. KRUENG,3
KEUDE BLANG ARA,4
KR. MANYANG,11
KR. SENONG,14
KR. SEPENG,4
KRESEK,7
LANGKUTA,9
LHOKJOK,9
MC. BAHAGIA,10
MEUNASAH DAYAH,21
MEUNASAH KULAM,2
MEUNASAH KUMBANG,10
MEURIYA,0
MULING MANYANG,12
MULING MEUCAT,4
P. RAYEUK 2,5
PULO BARAT,7
PULO IBOH,7
PULO RAYEUK,8
Panton Rayek 1,0
SAWEUK,9
SEUNEBOK DRIEN,1
SIDO MULYO,30
