nama_desa,jumlah
ALU RAMBE,1
BABAH LUENG,0
BAYU,7
BL. ADO,8
BL. ARA,3
BL. GURAH,4
BL. RIEK,0
BL. TALON,7
BUKET,7
CEMECET,3
CEMPEDAK,3
COT MERBO,10
COT RHEU,16
COT SEMIYONG,0
COT SEUTUI,6
FASKES LAIN,1
GUHA ULHEU,4
KD. KRUENG,0
KEUDE BLANG ARA,2
KR. MANYANG,4
KR. SENONG,5
KR. SEPENG,5
KRESEK,5
LANGKUTA,6
LHOKJOK,4
MC. BAHAGIA,2
MEUNASAH DAYAH,5
MEUNASAH KULAM,1
MEUNASAH KUMBANG,4
MEURIYA,2
MULING MANYANG,4
MULING MEUCAT,1
P. RAYEUK 2,0
PULO BARAT,1
PULO IBOH,4
PULO RAYEUK,5
Panton Rayek 1,3
SAWEUK,0
SEUNEBOK DRIEN,6
SIDO MULYO,5
