nama_desa,jumlah
ALU RAMBE,6
BABAH LUENG,6
BAYU,15
BL. ADO,15
BL. ARA,10
BL. GURAH,13
BL. RIEK,4
BL. TALON,31
BUKET,29
CEMECET,12
CEMPEDAK,8
COT MERBO,31
COT RHEU,10
COT SEMIYONG,4
COT SEUTUI,2
FASKES LAIN,4
GUHA ULHEU,4
KD. KRUENG,4
KEUDE BLANG ARA,3
KR. MANYANG,12
KR. SENONG,10
KR. SEPENG,6
KRESEK,1
LANGKUTA,11
LHOKJOK,9
MC. BAHAGIA,1
MEUNASAH DAYAH,12
MEUNASAH KULAM,2
MEUNASAH KUMBANG,10
MEURIYA,1
MULING MANYANG,0
MULING MEUCAT,10
P. RAYEUK 2,0
PULO BARAT,10
PULO IBOH,12
PULO RAYEUK,12
Panton Rayek 1,13
SAWEUK,1
SEUNEBOK DRIEN,4
SIDO MULYO,20
