nama_desa,jumlah
ALU RAMBE,1
BABAH LUENG,2
BAYU,12
BL. ADO,8
BL. ARA,12
BL. GURAH,13
BL. RIEK,6
BL. TALON,17
BUKET,3
CEMECET,2
CEMPEDAK,8
COT MERBO,15
COT RHEU,13
COT SEMIYONG,0
COT SEUTUI,11
FASKES LAIN,9
GUHA ULHEU,6
KD. KRUENG,9
KEUDE BLANG ARA,2
KR. MANYANG,3
KR. SENONG,12
KR. SEPENG,3
KRESEK,8
LANGKUTA,2
LHOKJOK,6
MC. BAHAGIA,4
MEUNASAH DAYAH,12
MEUNASAH KULAM,2
MEUNASAH KUMBANG,2
MEURIYA,1
MULING MANYANG,3
MULING MEUCAT,5
P. RAYEUK 2,0
PULO BARAT,8
PULO IBOH,1
PULO RAYEUK,2
Panton Rayek 1,3
SAWEUK,0
SEUNEBOK DRIEN,4
SIDO MULYO,15
