nama_desa,jumlah
ALU RAMBE,0
BABAH LUENG,21
BAYU,0
BL. ADO,0
BL. ARA,0
BL. GURAH,0
BL. RIEK,0
BL. TALON,0
BUKET,0
CEMECET,0
CEMPEDAK,0
COT MERBO,0
COT RHEU,0
COT SEMIYONG,0
COT SEUTUI,0
FASKES LAIN,0
GUHA ULHEU,0
KD. KRUENG,0
KEUDE BLANG ARA,0
KR. MANYANG,0
KR. SENONG,0
KR. SEPENG,0
KRESEK,0
LANGKUTA,0
LHOKJOK,0
MC. BAHAGIA,0
MEUNASAH DAYAH,0
MEUNASAH KULAM,0
MEUNASAH KUMBANG,0
MEURIYA,0
MULING MANYANG,0
MULING MEUCAT,0
P. RAYEUK 2,0
PULO BARAT,0
PULO IBOH,0
PULO RAYEUK,0
Panton Rayek 1,0
SAWEUK,0
SEUNEBOK DRIEN,0
SIDO MULYO,0
